Rank,State,"Firearms/1,000 people",Total registered firearms,2013 population est.
1,Wyoming,195.7,"114,052","582,658"
2,District of Columbia,66.4,"42,897","646,449"
3,Arkansas,41.6,"123,130","2,959,373"
4,New Mexico,40.5,"84,471","2,085,287"
5,Virginia,30.1,"248,939","8,260,405"
6,Idaho,24.2,"39,019","1,612,136"
7,Alabama,20,"96,744","4,833,722"
8,Nevada,19.5,"54,436","2,790,136"
9,Alaska,15.2,"11,167","735,132"
10,Louisiana,15.1,"69,668","4,625,470"
11,Maryland,15,"88,732","5,928,814"
11,Pennsylvania,15,"191,189","12,773,801"
13,Georgia,14.6,"145,412","9,992,167"
13,New Hampsire,14.6,"19,284","1,323,459"
15,Indiana,14.1,"92,700","6,570,902"
16,Kentucky,13.5,"59,240","4,395,295"
17,Utah,12.9,"37,490","2,900,872"
18,Texas,12.8,"337,309","26,448,193"
19,Oklahoma,12.3,"47,419","3,850,568"
20,Colorado,12,"63,178","5,268,367"
21,South Carolina,11.6,"55,286","4,774,839"
22,South Dakota,11.5,"9,677","844,877"
23,Ohio,11.4,"131,990","11,570,808"
23,Oregon,11.4,"44,811","3,930,065"
25,Connecticut,11.3,"40,740","3,596,080"
25,Montana,11.3,"11,461","1,015,165"
25,Tennessee,11.3,"73,320","6,495,978"
28,North Carolina,11.1,"109,388","9,848,060"
29,Kansas,11,"31,926","2,893,957"
30,Florida,10.2,"199,828","19,552,860"
31,Minnesota,9.5,"51,658","5,420,380"
31,North Dakota,9.5,"6,863","723,393"
33,Arizona,9.4,"62,527","6,626,624"
33,West Virginia,9.4,"17,429","1,854,304"
35,Illinois,9.2,"118,295","12,882,135"
36,Maine,8.7,"11,509","1,328,302"
37,Washington,8.6,"60,009","6,971,406"
38,Missouri,8.5,"51,550","6,044,171"
39,Wisconsin,7.8,"44,705","5,742,713"
40,California,7.6,"292,877","38,332,521"
41,Nebraska,7.4,"13,864","1,868,516"
42,Mississippi,6.8,"20,389","2,991,207"
43,Vermont,6.4,"4,032","626,630"
44,Iowa,6.1,"18,880","3,090,416"
45,New Jersey,5.8,"51,670","8,899,339"
46,Hawaii,5.1,"7,105","1,404,054"
47,Massachusetts,4.9,"32,682","6,692,824"
48,Michigan,4.3,"42,855","9,895,622"
49,Delaware,4.2,"3,907","925,749"
50,Rhode Island,3.8,"3,973","1,051,511"
51,New York,3.3,"64,353","19,651,127"